block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_time(us),aic_cube_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_mte3_time(us),aic_mte3_ratio,aic_mte3_active_bw(GB/s),aic_fixpipe_time(us),aic_fixpipe_ratio,aic_fixpipe_active_bw(GB/s),aic_icache_miss_rate,aic_scalar_time(us),aic_scalar_ratio,aic_scalar_single_time(us),aic_scalar_dual_time(us),aic_scalar_mte1_stall_time(us),aic_scalar_mte2_stall_time(us),aic_scalar_mte3_stall_time(us),aic_scalar_cube_stall_time(us),aic_scalar_wait_ib_time(us),aic_scalar_wait_time(us),aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte2_active_bw(GB/s),aiv_mte3_time(us),aiv_mte3_ratio,aiv_mte3_active_bw(GB/s),aiv_icache_miss_rate,aiv_scalar_time(us),aiv_scalar_ratio,aiv_scalar_single_time(us),aiv_scalar_dual_time(us),aiv_scalar_mte2_stall_time(us),aiv_scalar_mte3_stall_time(us),aiv_scalar_stall_by_ub_time(us),aiv_scalar_vector_stall_time(us),aiv_scalar_wait_ib_time(us),aiv_scalar_wait_time(us),aic_scalar_wait_id11_time(us),aic_scalar_wait_id12_time(us),aic_scalar_wait_id3_time(us),aiv_scalar_wait_id13_time(us),aiv_scalar_wait_id5_time(us),
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1031.106689,1855992,408.890564,0.390535,265.059448,0.253161,40.341721,96.218887,0.091900,46.408161,0.004514,566.371094,0.540947,64.554443,68.287224,0.000000,0.000000,0.000000,249.083893,39.001667,4.559444,NA,NA,NA,203.535553,301.722229,
10,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1030.692261,1855246,408.917786,0.390561,282.603882,0.269918,37.832188,105.973892,0.101217,42.153118,0.004538,576.372192,0.550499,64.501114,68.315552,0.000000,0.000000,0.000000,251.364441,35.063889,4.069445,NA,NA,NA,207.132782,299.118896,
11,cube0,1030.653320,1855176,91.278336,0.087181,117.266670,0.112003,504.226654,0.481592,5.388889,0.005147,326.953003,579.452209,0.553441,15.167882,0.000063,710.342224,0.678455,45.832222,81.919998,45.050556,0.000000,0.000000,0.000000,1.185556,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,181.783890,1.242778,593.521118,NA,NA,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1030.134399,1854242,408.237793,0.389912,275.286652,0.262929,38.399982,98.363892,0.093948,44.752613,0.004572,585.922791,0.559621,64.471664,70.633331,0.000000,0.000000,0.000000,246.286667,40.130554,3.920000,NA,NA,NA,209.369446,301.661652,
11,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1029.931152,1853876,407.804993,0.389499,270.200562,0.258071,39.122803,96.583885,0.092248,45.473713,0.004432,592.547241,0.565948,64.420555,70.660553,0.000000,0.000000,0.000000,250.912781,36.556110,3.843889,NA,NA,NA,215.308334,287.304443,
12,cube0,1024.060059,1843308,103.561668,0.098913,116.589447,0.111356,504.396118,0.481754,5.366667,0.005126,328.306793,580.229431,0.554183,15.147564,0.000063,710.236694,0.678354,45.844444,81.913887,49.036667,0.000000,0.000000,0.000000,1.402778,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,171.437225,1.728889,611.043884,NA,NA,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1023.513916,1842325,408.236664,0.389911,267.203339,0.255209,39.561642,91.298889,0.087200,48.231384,0.004699,579.645569,0.553625,64.445557,70.647224,0.000000,0.000000,0.000000,238.731110,48.727779,3.617222,NA,NA,NA,204.777222,302.937225,
12,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1023.036682,1841466,407.924988,0.389613,269.381653,0.257289,39.241730,97.347221,0.092977,45.102444,0.004479,572.656677,0.546950,64.398888,70.672226,0.000000,0.000000,0.000000,249.401108,38.140556,4.556667,NA,NA,NA,211.800003,296.343903,
13,cube0,1025.790039,1846422,84.426109,0.080636,117.592781,0.112314,496.273346,0.473996,5.175556,0.004943,104.570450,563.712769,0.538408,15.591384,0.000063,717.669983,0.685454,45.838333,81.880554,43.607777,0.000000,0.000000,0.000000,1.626667,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,176.695557,0.931111,609.226685,NA,NA,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1025.280518,1845505,408.945557,0.390588,272.042236,0.259830,39.306232,97.511108,0.093134,45.793156,0.004513,563.535583,0.538238,64.559998,68.284447,0.000000,0.000000,0.000000,256.875000,43.785557,3.955000,NA,NA,NA,207.875549,311.704987,
