block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l1_read_bw(GB/s),aic_l1_write_bw(GB/s),aic_main_mem_read_bw(GB/s),aic_main_mem_write_bw(GB/s),aic_mte1_instructions,aic_mte1_ratio,aic_mte2_instructions,aic_mte2_ratio,aic_mte3_instructions,aic_mte3_ratio,aiv_time(us),aiv_total_cycles,aiv_ub_to_gm_bw(GB/s),aiv_gm_to_ub_bw(GB/s),aiv_main_mem_read_bw(GB/s),aiv_main_mem_write_bw(GB/s),aiv_mte2_instructions,aiv_mte2_ratio,aiv_mte3_instructions,aiv_mte3_ratio,read_main_memory_datas(KB),write_main_memory_datas(KB),GM_to_L1_datas(KB),GM_to_L1_bw_usage_rate(%),L1_to_GM_datas(KB)(estimate),L1_to_GM_bw_usage_rate(%)(estimate),L0C_to_L1_datas(KB),L0C_to_L1_bw_usage_rate(%),L0C_to_GM_datas(KB),L0C_to_GM_bw_usage_rate(%),GM_to_UB_datas(KB),GM_to_UB_bw_usage_rate(%),UB_to_GM_datas(KB),UB_to_GM_bw_usage_rate(%),
15,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1020.080017,1836144,4.265455,10.208839,10.274062,4.319522,1250,0.259143,577,0.093407,11282.500000,4743.500000,NA,NA,NA,NA,NA,NA,NA,NA,11210.875000,4.639116,4684.125000,2.283434,
16,cube0,1018.450562,1833211,22.437887,22.393950,22.380974,8.488680,5286,0.112804,1349,0.465690,18,0.005010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24577.750000,9321.875000,24592.000000,8.482557,567.500000,0.259127,0.000000,0.000000,9216.000000,4.009300,NA,NA,NA,NA,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1018.105530,1832590,4.263748,10.210205,10.273607,4.319181,1250,0.255665,577,0.089317,11282.000000,4743.125000,NA,NA,NA,NA,NA,NA,NA,NA,11212.375000,4.639737,4682.250000,2.282520,
16,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1017.771118,1831988,4.265455,10.208839,10.274062,4.319522,1250,0.263904,577,0.093817,11282.500000,4743.500000,NA,NA,NA,NA,NA,NA,NA,NA,11210.875000,4.639116,4684.125000,2.283434,
17,cube0,1020.546692,1836984,22.437887,22.393950,22.380974,8.488680,5286,0.112416,1349,0.465619,18,0.004840,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24577.750000,9321.875000,24592.000000,8.482557,567.500000,0.259127,0.000000,0.000000,9216.000000,4.009300,NA,NA,NA,NA,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1018.963867,1834135,4.263748,10.210205,10.273607,4.319181,1250,0.264565,577,0.085922,11282.000000,4743.125000,NA,NA,NA,NA,NA,NA,NA,NA,11212.375000,4.639737,4682.250000,2.282520,
17,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1020.205017,1836369,4.265455,10.208839,10.274062,4.319522,1250,0.259041,577,0.091553,11282.500000,4743.500000,NA,NA,NA,NA,NA,NA,NA,NA,11210.875000,4.639116,4684.125000,2.283434,
18,cube0,1028.292725,1850927,22.437887,22.393950,22.380974,8.488680,5286,0.112156,1349,0.479252,18,0.004641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24577.750000,9321.875000,24592.000000,8.482557,567.500000,0.259127,0.000000,0.000000,9216.000000,4.009300,NA,NA,NA,NA,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1027.733276,1849920,4.263748,10.210205,10.273607,4.319181,1250,0.255274,577,0.088217,11282.000000,4743.125000,NA,NA,NA,NA,NA,NA,NA,NA,11212.375000,4.639737,4682.250000,2.282520,
18,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1027.166626,1848900,4.265455,10.208839,10.274062,4.319522,1250,0.261062,577,0.096860,11282.500000,4743.500000,NA,NA,NA,NA,NA,NA,NA,NA,11210.875000,4.639116,4684.125000,2.283434,
19,cube0,1022.494446,1840490,22.437887,22.393950,22.380974,8.488680,5286,0.112016,1349,0.471888,18,0.004426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24577.750000,9321.875000,24592.000000,8.482557,567.500000,0.259127,0.000000,0.000000,9216.000000,4.009300,NA,NA,NA,NA,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1021.425537,1838566,4.263748,10.210205,10.273607,4.319181,1250,0.253181,577,0.094967,11282.000000,4743.125000,NA,NA,NA,NA,NA,NA,NA,NA,11212.375000,4.639737,4682.250000,2.282520,
19,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1021.876648,1839378,4.265455,10.208839,10.274062,4.319522,1250,0.255721,577,0.093497,11282.500000,4743.500000,NA,NA,NA,NA,NA,NA,NA,NA,11210.875000,4.639116,4684.125000,2.283434,
